codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_locales
2296,COLORANTE PASTA ROSA C X 15 GR,"Insumo de repostería COLORANTE PASTA ROSA C X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA ROSA C X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2294,COLORANTE PASTA ROSA N X 15 GR,"Insumo de repostería COLORANTE PASTA ROSA N X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA ROSA N X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2297,COLORANTE PASTA ROSA X X 15 GR,"Insumo de repostería COLORANTE PASTA ROSA X X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA ROSA X X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2310,COLORANTE PASTA VERDE A X 15 GR,"Insumo de repostería COLORANTE PASTA VERDE A X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VERDE A X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2308,COLORANTE PASTA VERDE H X 15 GR,"Insumo de repostería COLORANTE PASTA VERDE H X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VERDE H X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2309,COLORANTE PASTA VERDE M X 15 GR,"Insumo de repostería COLORANTE PASTA VERDE M X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VERDE M X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2307,COLORANTE PASTA VERDE X 15 GR,"Insumo de repostería COLORANTE PASTA VERDE X 15 GR, marca FLEIBOR, 15 GR.",Insumo para preparar helados: COLORANTE PASTA VERDE X 15 GR. Marca COLORANTES Y ESENCIAS HELADOS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2311,COLORANTE PASTA VERDE Y X 15 GR,"Insumo de repostería COLORANTE PASTA VERDE Y X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VERDE Y X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2306,COLORANTE PASTA VIOLETA B X 15 GR,"Insumo de repostería COLORANTE PASTA VIOLETA B X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VIOLETA B X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2305,COLORANTE PASTA VIOLETA L X 15 GR,"Insumo de repostería COLORANTE PASTA VIOLETA L X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VIOLETA L X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2384,COLORANTE PASTA VIOLETA N X 15 GR,"Insumo de repostería COLORANTE PASTA VIOLETA N X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VIOLETA N X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2304,COLORANTE PASTA VIOLETA X 15 GR,"Insumo de repostería COLORANTE PASTA VIOLETA X 15 GR, marca FLEIBOR, 15 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA VIOLETA X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2872,COLORANTE PASTA X 250 GR ROJO R,"Insumo de repostería COLORANTE PASTA X 250 GR ROJO R, marca FLEIBOR, 250 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA X 250 GR ROJO R. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2658,COLORANTE PASTA X 250 GR ROSA,"Insumo de repostería COLORANTE PASTA X 250 GR ROSA, marca FLEIBOR, 250 GR.",Pasta saborizante para helados o repostería: COLORANTE PASTA X 250 GR ROSA. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1222,CREMA CHANTILLY FACILMIX EN POLVO X 1 KG,"Insumo de repostería CREMA CHANTILLY FACILMIX EN POLVO X 1 KG, marca MAPSA, 1 KG.",Insumo de repostería: CREMA CHANTILLY FACILMIX EN POLVO X 1 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2882,CREMA CHANTILLY FACILMIX EN POLVO X CAJA 4 KG,"Insumo de repostería CREMA CHANTILLY FACILMIX EN POLVO X CAJA 4 KG, marca MAPSA, 4 KG.",Insumo de repostería: CREMA CHANTILLY FACILMIX EN POLVO X CAJA 4 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2691,CREMA CHANTILLY JAMER X 200 GR,"Insumo de repostería CREMA CHANTILLY JAMER X 200 GR, 200 GR.",Insumo de repostería: CREMA CHANTILLY JAMER X 200 GR. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2157,CREMA PASTELERA JAMER X 1 KG,"Insumo de repostería CREMA PASTELERA JAMER X 1 KG, 1 KG.",Insumo de repostería: CREMA PASTELERA JAMER X 1 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1940,CREMOR TARTARO X 1 KG,"Insumo de repostería CREMOR TARTARO X 1 KG, marca ALZOL, 1 KG.",Insumo de repostería: CREMOR TARTARO X 1 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2927,CUBANITOS PARA RELLENAR 10CM CAJA X 2 KG,"Insumo de repostería CUBANITOS PARA RELLENAR 10CM CAJA X 2 KG, marca ALTA ROTACION, 2 KG.",Cono u oblea para helado: CUBANITOS PARA RELLENAR 10CM CAJA X 2 KG. Marca CONOS Y OBLEAS DULCES. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1170,CUBANITOS PARA RELLENAR 5CM CAJA X 2 KG,"Insumo de repostería CUBANITOS PARA RELLENAR 5CM CAJA X 2 KG, marca ALTA ROTACION, 2 KG.",Cono u oblea para helado: CUBANITOS PARA RELLENAR 5CM CAJA X 2 KG. Marca CONOS Y OBLEAS DULCES. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2705,DIOXIDO DE TITANIO PURO X 50 G,"Insumo de repostería DIOXIDO DE TITANIO PURO X 50 G, marca FLEIBOR, 50 G.",Insumo de repostería: DIOXIDO DE TITANIO PURO X 50 G. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2805,DROPS MAXI PERLAS BLANCAS X 35 GR,"Insumo de repostería DROPS MAXI PERLAS BLANCAS X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS MAXI PERLAS BLANCAS X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2806,DROPS MAXI PERLAS DORADAS X 35 GR,"Insumo de repostería DROPS MAXI PERLAS DORADAS X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS MAXI PERLAS DORADAS X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2929,DROPS MAXI PERLAS ROSA FUERTE X 35 GR,"Insumo de repostería DROPS MAXI PERLAS ROSA FUERTE X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS MAXI PERLAS ROSA FUERTE X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2919,DROPS MIX OJITOS X 30 GR,"Insumo de repostería DROPS MIX OJITOS X 30 GR, marca PASTELAR, 30 GR.",Insumo de repostería: DROPS MIX OJITOS X 30 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2921,DROPS MIX PASTEL MATE FORMAS VARIAS X 30 GR,"Insumo de repostería DROPS MIX PASTEL MATE FORMAS VARIAS X 30 GR, marca PASTELAR, 30 GR.",Insumo de repostería: DROPS MIX PASTEL MATE FORMAS VARIAS X 30 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2807,DROPS PERLAS MEDIANAS BLANCAS X 35 GR,"Insumo de repostería DROPS PERLAS MEDIANAS BLANCAS X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS PERLAS MEDIANAS BLANCAS X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2842,DROPS PERLAS MEDIANAS CELESTES X 35 GR,"Insumo de repostería DROPS PERLAS MEDIANAS CELESTES X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS PERLAS MEDIANAS CELESTES X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2808,DROPS PERLAS MEDIANAS DORADAS X 35 GR,"Insumo de repostería DROPS PERLAS MEDIANAS DORADAS X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS PERLAS MEDIANAS DORADAS X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2843,DROPS PERLAS MEDIANAS ROSA X 35 GR,"Insumo de repostería DROPS PERLAS MEDIANAS ROSA X 35 GR, marca PASTELAR, 35 GR.",Insumo de repostería: DROPS PERLAS MEDIANAS ROSA X 35 GR. Marca GRANAS Y GRAGEAS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2879,DULCE DE LECHE REPOSTERO LA AGUSTINA PREMIUM X 10 KG (BALDE PLAST),"Insumo de repostería DULCE DE LECHE REPOSTERO LA AGUSTINA PREMIUM X 10 KG (BALDE PLAST), 10 KG.",Insumo de repostería: DULCE DE LECHE REPOSTERO LA AGUSTINA PREMIUM X 10 KG (BALDE PLAST). Marca NINGUNA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2094,ESENCIA DE AGUA DE AZAHAR FLEIBOR X 30 CC,Insumo de repostería ESENCIA DE AGUA DE AZAHAR FLEIBOR X 30 CC.,Insumo de repostería: ESENCIA DE AGUA DE AZAHAR FLEIBOR X 30 CC. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2025,ESENCIA DE ALMENDRAS AMARGAS FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE ALMENDRAS AMARGAS FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE ALMENDRAS AMARGAS FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1590,ESENCIA DE AROMA MANTECA FLEIBOR X 30 C.C.,Insumo de repostería ESENCIA DE AROMA MANTECA FLEIBOR X 30 C.C..,Insumo de repostería: ESENCIA DE AROMA MANTECA FLEIBOR X 30 C.C.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2712,ESENCIA DE BANANA EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE BANANA EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE BANANA EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2036,ESENCIA DE BANANA FLEIBOR X 30CC,Insumo de repostería ESENCIA DE BANANA FLEIBOR X 30CC.,Insumo de repostería: ESENCIA DE BANANA FLEIBOR X 30CC. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2095,ESENCIA DE BUDIN FLEIBOR X 30 CC,Insumo de repostería ESENCIA DE BUDIN FLEIBOR X 30 CC.,Insumo de repostería: ESENCIA DE BUDIN FLEIBOR X 30 CC. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2710,ESENCIA DE CHOCOLATE BLANCO EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE CHOCOLATE BLANCO EN POLVO X 28 G., marca FLEIBOR, 28 G.",Chocolate / cobertura: ESENCIA DE CHOCOLATE BLANCO EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2026,ESENCIA DE CHOCOLATE FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE CHOCOLATE FLEIBOR X 30 CC..,Chocolate / cobertura: ESENCIA DE CHOCOLATE FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2709,ESENCIA DE COCO EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE COCO EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE COCO EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2028,ESENCIA DE COCO FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE COCO FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE COCO FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2030,ESENCIA DE FRAMBUESA FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE FRAMBUESA FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE FRAMBUESA FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2708,ESENCIA DE FRUTILLA EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE FRUTILLA EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE FRUTILLA EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2031,ESENCIA DE FRUTILLA FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE FRUTILLA FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE FRUTILLA FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2707,ESENCIA DE FRUTOS ROJOS EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE FRUTOS ROJOS EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE FRUTOS ROJOS EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2713,ESENCIA DE LIMON EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE LIMON EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE LIMON EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2032,ESENCIA DE LIMON FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE LIMON FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE LIMON FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2033,ESENCIA DE MENTA FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE MENTA FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE MENTA FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2034,ESENCIA DE NARANJA FLEIBOR X 30 CC.,Insumo de repostería ESENCIA DE NARANJA FLEIBOR X 30 CC..,Insumo de repostería: ESENCIA DE NARANJA FLEIBOR X 30 CC.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2706,ESENCIA DE NUTELLA EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE NUTELLA EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE NUTELLA EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2096,ESENCIA DE PAN DULCE FLEIBOR X 30 CC,Insumo de repostería ESENCIA DE PAN DULCE FLEIBOR X 30 CC.,Insumo de repostería: ESENCIA DE PAN DULCE FLEIBOR X 30 CC. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2711,ESENCIA DE PISTACHO EN POLVO X 28 G.,"Insumo de repostería ESENCIA DE PISTACHO EN POLVO X 28 G., marca FLEIBOR, 28 G.",Insumo de repostería: ESENCIA DE PISTACHO EN POLVO X 28 G.. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1983,ESENCIA DE VAINILLA FLEIBOR X 110 C.C,Insumo de repostería ESENCIA DE VAINILLA FLEIBOR X 110 C.C.,Insumo de repostería: ESENCIA DE VAINILLA FLEIBOR X 110 C.C. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1985,ESENCIA DE VAINILLA FLEIBOR X 1.LTS,Insumo de repostería ESENCIA DE VAINILLA FLEIBOR X 1.LTS.,Insumo de repostería: ESENCIA DE VAINILLA FLEIBOR X 1.LTS. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1986,ESENCIA DE VAINILLA FLEIBOR X 2 LT,"Insumo de repostería ESENCIA DE VAINILLA FLEIBOR X 2 LT, 2 L.",Insumo de repostería: ESENCIA DE VAINILLA FLEIBOR X 2 LT. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1987,ESENCIA DE VAINILLA FLEIBOR X 5 LT,"Insumo de repostería ESENCIA DE VAINILLA FLEIBOR X 5 LT, 5 L.",Insumo de repostería: ESENCIA DE VAINILLA FLEIBOR X 5 LT. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2098,"EXTRACTO DE MALTA, FLEIBOR X 500 GRS","Insumo de repostería EXTRACTO DE MALTA, FLEIBOR X 500 GRS, 500 GRS.","Insumo de repostería: EXTRACTO DE MALTA, FLEIBOR X 500 GRS. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.",
2097,"EXTRACTO DE MALTA, FLEIBOR X 60 GRS","Insumo de repostería EXTRACTO DE MALTA, FLEIBOR X 60 GRS, 60 GRS.","Insumo de repostería: EXTRACTO DE MALTA, FLEIBOR X 60 GRS. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.",
1941,FECULA ALZOL X 1 KG,"Insumo de repostería FECULA ALZOL X 1 KG, 1 KG.",Insumo de repostería: FECULA ALZOL X 1 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1942,FECULA ALZOL X 5 KG,"Insumo de repostería FECULA ALZOL X 5 KG, 5 KG.",Insumo de repostería: FECULA ALZOL X 5 KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2961,FLEIGEL AZUL X 15 GR,"Insumo de repostería FLEIGEL AZUL X 15 GR, marca FLEIBOR, 15 GR.",Insumo para preparar helados: FLEIGEL AZUL X 15 GR. Marca COLORANTES Y ESENCIAS HELADOS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2963,FLEIGEL BLANCO X 15 GR,"Insumo de repostería FLEIGEL BLANCO X 15 GR, marca FLEIBOR, 15 GR.",Insumo de repostería: FLEIGEL BLANCO X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2958,FLEIGEL FUCSIA X 15 GR,"Insumo de repostería FLEIGEL FUCSIA X 15 GR, marca FLEIBOR, 15 GR.",Insumo de repostería: FLEIGEL FUCSIA X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2962,FLEIGEL NARANJA X 15 GR,"Insumo de repostería FLEIGEL NARANJA X 15 GR, marca FLEIBOR, 15 GR.",Insumo para preparar helados: FLEIGEL NARANJA X 15 GR. Marca COLORANTES Y ESENCIAS HELADOS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2964,FLEIGEL NEGRO X 15 GR,"Insumo de repostería FLEIGEL NEGRO X 15 GR, marca FLEIBOR, 15 GR.",Insumo de repostería: FLEIGEL NEGRO X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2957,FLEIGEL ROJO X 15 GR,"Insumo de repostería FLEIGEL ROJO X 15 GR, marca FLEIBOR, 15 GR.",Insumo de repostería: FLEIGEL ROJO X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2960,FLEIGEL VERDE X 15 GR,"Insumo de repostería FLEIGEL VERDE X 15 GR, marca FLEIBOR, 15 GR.",Insumo de repostería: FLEIGEL VERDE X 15 GR. Marca COLORANTES Y ESENCIAS REPOSTERIA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2959,FLEIGEL VIOLETA X 15 GR,"Insumo de repostería FLEIGEL VIOLETA X 15 GR, marca FLEIBOR, 15 GR.",Insumo para preparar helados: FLEIGEL VIOLETA X 15 GR. Marca COLORANTES Y ESENCIAS HELADOS. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2043,FONDANT BALLINA X 500 GR,"Insumo de repostería FONDANT BALLINA X 500 GR, 500 GR.",Pasta saborizante para helados o repostería: FONDANT BALLINA X 500 GR. Marca PASTA PARA CUBRIR TORTAS Y MODELAR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
1704,FONDANT EXTRA X 1 KG,"Insumo de repostería FONDANT EXTRA X 1 KG, marca DGE, 1 KG.",Pasta saborizante para helados o repostería: FONDANT EXTRA X 1 KG. Marca PASTA PARA CUBRIR TORTAS Y MODELAR. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2936,GELATINA SABOR FRAMBUESA X 1KG,"Insumo de repostería GELATINA SABOR FRAMBUESA X 1KG, marca ALZOL, 1KG.",Insumo de repostería: GELATINA SABOR FRAMBUESA X 1KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2939,GELATINA SABOR FRUTILLA X 1KG,"Insumo de repostería GELATINA SABOR FRUTILLA X 1KG, marca ALZOL, 1KG.",Insumo de repostería: GELATINA SABOR FRUTILLA X 1KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
2937,GELATINA SABOR MANZANA X 1KG,"Insumo de repostería GELATINA SABOR MANZANA X 1KG, marca ALZOL, 1KG.",Insumo de repostería: GELATINA SABOR MANZANA X 1KG. Marca POLVOS SOLUBLES Y ADITIVOS P. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,
